Country,City,Date,Year,Month,Day,Temp,DayOfYear
South Africa,Capetown,2003-01-07,2003,1,7,20.944444444444443,7
South Africa,Capetown,2003-01-08,2003,1,8,19.5,8
South Africa,Capetown,2003-01-09,2003,1,9,21.83333333333333,9
South Africa,Capetown,2003-01-10,2003,1,10,21.11111111111111,10
South Africa,Capetown,2003-01-11,2003,1,11,20.27777777777778,11
South Africa,Capetown,2003-01-12,2003,1,12,21.22222222222222,12
South Africa,Capetown,2003-01-13,2003,1,13,21.444444444444443,13
South Africa,Capetown,2003-01-14,2003,1,14,21.83333333333333,14
South Africa,Capetown,2003-01-15,2003,1,15,22.27777777777777,15
South Africa,Capetown,2003-01-16,2003,1,16,19.388888888888893,16
South Africa,Capetown,2003-01-17,2003,1,17,18.666666666666664,17
South Africa,Capetown,2003-01-18,2003,1,18,19.5,18
South Africa,Capetown,2003-01-19,2003,1,19,20.166666666666668,19
South Africa,Capetown,2003-01-20,2003,1,20,18.277777777777786,20
South Africa,Capetown,2003-01-21,2003,1,21,18.111111111111107,21
South Africa,Capetown,2003-01-22,2003,1,22,20.222222222222225,22
South Africa,Capetown,2003-01-23,2003,1,23,21.944444444444443,23
South Africa,Capetown,2003-01-24,2003,1,24,21.888888888888893,24
South Africa,Capetown,2003-01-25,2003,1,25,21.0,25
South Africa,Capetown,2003-01-26,2003,1,26,20.444444444444443,26
South Africa,Capetown,2003-01-27,2003,1,27,22.444444444444446,27
South Africa,Capetown,2003-01-28,2003,1,28,23.72222222222222,28
South Africa,Capetown,2003-01-29,2003,1,29,21.83333333333333,29
South Africa,Capetown,2003-01-30,2003,1,30,18.55555555555556,30
South Africa,Capetown,2003-01-31,2003,1,31,19.33333333333333,31
South Africa,Capetown,2004-01-01,2004,1,1,20.11111111111111,1
South Africa,Capetown,2004-01-02,2004,1,2,20.444444444444443,2
South Africa,Capetown,2004-01-03,2004,1,3,24.83333333333333,3
South Africa,Capetown,2004-01-04,2004,1,4,25.55555555555556,4
South Africa,Capetown,2004-01-05,2004,1,5,21.05555555555556,5
South Africa,Capetown,2004-01-06,2004,1,6,19.55555555555556,6
South Africa,Capetown,2004-01-07,2004,1,7,21.888888888888893,7
South Africa,Capetown,2004-01-08,2004,1,8,21.666666666666668,8
South Africa,Capetown,2004-01-09,2004,1,9,20.0,9
South Africa,Capetown,2004-01-10,2004,1,10,19.444444444444443,10
South Africa,Capetown,2004-01-11,2004,1,11,22.944444444444443,11
South Africa,Capetown,2004-01-12,2004,1,12,21.722222222222214,12
South Africa,Capetown,2004-01-13,2004,1,13,21.55555555555556,13
South Africa,Capetown,2004-01-14,2004,1,14,19.444444444444443,14
South Africa,Capetown,2004-01-15,2004,1,15,19.05555555555556,15
South Africa,Capetown,2004-01-16,2004,1,16,21.333333333333336,16
South Africa,Capetown,2004-01-17,2004,1,17,21.77777777777778,17
South Africa,Capetown,2004-01-18,2004,1,18,22.0,18
South Africa,Capetown,2004-01-19,2004,1,19,21.27777777777778,19
South Africa,Capetown,2004-01-20,2004,1,20,24.77777777777777,20
South Africa,Capetown,2004-01-21,2004,1,21,24.444444444444443,21
South Africa,Capetown,2004-01-22,2004,1,22,22.22222222222222,22
South Africa,Capetown,2004-01-23,2004,1,23,25.666666666666668,23
South Africa,Capetown,2004-01-24,2004,1,24,21.444444444444443,24
South Africa,Capetown,2004-01-25,2004,1,25,20.611111111111107,25
South Africa,Capetown,2004-01-26,2004,1,26,20.55555555555556,26
South Africa,Capetown,2004-01-27,2004,1,27,20.72222222222222,27
South Africa,Capetown,2004-01-28,2004,1,28,18.55555555555556,28
South Africa,Capetown,2004-01-29,2004,1,29,19.88888888888889,29
South Africa,Capetown,2004-01-30,2004,1,30,22.38888888888889,30
South Africa,Capetown,2004-01-31,2004,1,31,21.61111111111111,31
South Africa,Capetown,2005-01-01,2005,1,1,21.11111111111111,1
South Africa,Capetown,2005-01-02,2005,1,2,23.5,2
South Africa,Capetown,2005-01-03,2005,1,3,22.61111111111111,3
South Africa,Capetown,2005-01-04,2005,1,4,22.0,4
South Africa,Capetown,2005-01-05,2005,1,5,22.0,5
South Africa,Capetown,2005-01-06,2005,1,6,22.33333333333333,6
South Africa,Capetown,2005-01-07,2005,1,7,21.22222222222222,7
South Africa,Capetown,2005-01-08,2005,1,8,18.88888888888889,8
South Africa,Capetown,2005-01-09,2005,1,9,21.05555555555556,9
South Africa,Capetown,2005-01-10,2005,1,10,21.61111111111111,10
South Africa,Capetown,2005-01-11,2005,1,11,21.55555555555556,11
South Africa,Capetown,2005-01-12,2005,1,12,23.944444444444443,12
South Africa,Capetown,2005-01-13,2005,1,13,23.05555555555556,13
South Africa,Capetown,2005-01-14,2005,1,14,22.61111111111111,14
South Africa,Capetown,2005-01-15,2005,1,15,23.166666666666668,15
South Africa,Capetown,2005-01-16,2005,1,16,23.38888888888889,16
South Africa,Capetown,2005-01-17,2005,1,17,25.0,17
South Africa,Capetown,2005-01-18,2005,1,18,26.38888888888889,18
South Africa,Capetown,2005-01-19,2005,1,19,22.38888888888889,19
South Africa,Capetown,2005-01-20,2005,1,20,23.444444444444443,20
South Africa,Capetown,2005-01-21,2005,1,21,21.333333333333336,21
South Africa,Capetown,2005-01-22,2005,1,22,21.944444444444443,22
South Africa,Capetown,2005-01-23,2005,1,23,20.27777777777778,23
South Africa,Capetown,2005-01-24,2005,1,24,20.055555555555557,24
South Africa,Capetown,2005-01-25,2005,1,25,21.05555555555556,25
South Africa,Capetown,2005-01-26,2005,1,26,20.611111111111107,26
South Africa,Capetown,2005-01-27,2005,1,27,21.5,27
South Africa,Capetown,2005-01-28,2005,1,28,17.666666666666668,28
South Africa,Capetown,2005-01-29,2005,1,29,20.055555555555557,29
South Africa,Capetown,2005-01-30,2005,1,30,20.444444444444443,30
South Africa,Capetown,2005-01-31,2005,1,31,19.944444444444446,31
South Africa,Capetown,2006-01-01,2006,1,1,22.33333333333333,1
South Africa,Capetown,2006-01-02,2006,1,2,22.11111111111111,2
South Africa,Capetown,2006-01-03,2006,1,3,22.555555555555557,3
South Africa,Capetown,2006-01-04,2006,1,4,22.83333333333333,4
South Africa,Capetown,2006-01-05,2006,1,5,23.33333333333333,5
South Africa,Capetown,2006-01-06,2006,1,6,21.944444444444443,6
South Africa,Capetown,2006-01-07,2006,1,7,19.222222222222214,7
South Africa,Capetown,2006-01-08,2006,1,8,21.05555555555556,8
South Africa,Capetown,2006-01-09,2006,1,9,22.83333333333333,9
South Africa,Capetown,2006-01-10,2006,1,10,22.77777777777778,10
South Africa,Capetown,2006-01-11,2006,1,11,20.944444444444443,11
South Africa,Capetown,2006-01-12,2006,1,12,20.444444444444443,12
South Africa,Capetown,2006-01-13,2006,1,13,21.27777777777778,13
South Africa,Capetown,2006-01-14,2006,1,14,20.500000000000004,14
South Africa,Capetown,2006-01-15,2006,1,15,21.22222222222222,15
South Africa,Capetown,2006-01-16,2006,1,16,21.61111111111111,16
South Africa,Capetown,2006-01-17,2006,1,17,21.666666666666668,17
South Africa,Capetown,2006-01-18,2006,1,18,19.72222222222222,18
South Africa,Capetown,2006-01-19,2006,1,19,20.83333333333333,19
South Africa,Capetown,2006-01-20,2006,1,20,22.22222222222222,20
South Africa,Capetown,2006-01-21,2006,1,21,20.666666666666668,21
South Africa,Capetown,2006-01-22,2006,1,22,20.11111111111111,22
South Africa,Capetown,2006-01-23,2006,1,23,20.500000000000004,23
South Africa,Capetown,2006-01-24,2006,1,24,20.500000000000004,24
South Africa,Capetown,2006-01-25,2006,1,25,21.444444444444443,25
South Africa,Capetown,2006-01-26,2006,1,26,25.055555555555557,26
South Africa,Capetown,2006-01-27,2006,1,27,22.05555555555556,27
South Africa,Capetown,2006-01-28,2006,1,28,21.166666666666664,28
South Africa,Capetown,2006-01-29,2006,1,29,20.666666666666668,29
South Africa,Capetown,2006-01-30,2006,1,30,21.722222222222214,30
South Africa,Capetown,2006-01-31,2006,1,31,24.444444444444443,31
South Africa,Capetown,2007-01-01,2007,1,1,19.33333333333333,1
South Africa,Capetown,2007-01-02,2007,1,2,22.11111111111111,2
South Africa,Capetown,2007-01-03,2007,1,3,21.38888888888889,3
South Africa,Capetown,2007-01-04,2007,1,4,22.05555555555556,4
South Africa,Capetown,2007-01-05,2007,1,5,20.666666666666668,5
South Africa,Capetown,2007-01-06,2007,1,6,18.77777777777778,6
South Africa,Capetown,2007-01-07,2007,1,7,18.277777777777786,7
South Africa,Capetown,2007-01-08,2007,1,8,20.222222222222225,8
South Africa,Capetown,2007-01-09,2007,1,9,20.72222222222222,9
South Africa,Capetown,2007-01-10,2007,1,10,23.666666666666664,10
South Africa,Capetown,2007-01-11,2007,1,11,22.722222222222225,11
South Africa,Capetown,2007-01-12,2007,1,12,22.11111111111111,12
South Africa,Capetown,2007-01-13,2007,1,13,21.77777777777778,13
South Africa,Capetown,2007-01-14,2007,1,14,21.666666666666668,14
South Africa,Capetown,2007-01-15,2007,1,15,21.333333333333336,15
South Africa,Capetown,2007-01-16,2007,1,16,20.666666666666668,16
South Africa,Capetown,2007-01-17,2007,1,17,22.77777777777778,17
South Africa,Capetown,2007-01-18,2007,1,18,22.444444444444446,18
South Africa,Capetown,2007-01-19,2007,1,19,21.11111111111111,19
South Africa,Capetown,2007-01-20,2007,1,20,26.5,20
South Africa,Capetown,2007-01-21,2007,1,21,24.388888888888893,21
South Africa,Capetown,2007-01-22,2007,1,22,23.111111111111107,22
South Africa,Capetown,2007-01-23,2007,1,23,23.55555555555556,23
South Africa,Capetown,2007-01-24,2007,1,24,25.72222222222222,24
South Africa,Capetown,2007-01-25,2007,1,25,27.77777777777778,25
South Africa,Capetown,2007-01-26,2007,1,26,23.22222222222222,26
South Africa,Capetown,2007-01-27,2007,1,27,22.944444444444443,27
South Africa,Capetown,2007-01-28,2007,1,28,22.61111111111111,28
South Africa,Capetown,2007-01-29,2007,1,29,21.61111111111111,29
South Africa,Capetown,2007-01-30,2007,1,30,21.722222222222214,30
South Africa,Capetown,2007-01-31,2007,1,31,22.88888888888889,31
South Africa,Capetown,2008-01-01,2008,1,1,20.88888888888889,1
South Africa,Capetown,2008-01-02,2008,1,2,19.77777777777777,2
South Africa,Capetown,2008-01-03,2008,1,3,19.388888888888893,3
South Africa,Capetown,2008-01-04,2008,1,4,22.83333333333333,4
South Africa,Capetown,2008-01-05,2008,1,5,19.72222222222222,5
South Africa,Capetown,2008-01-06,2008,1,6,19.11111111111111,6
South Africa,Capetown,2008-01-07,2008,1,7,18.666666666666664,7
South Africa,Capetown,2008-01-08,2008,1,8,19.66666666666667,8
South Africa,Capetown,2008-01-09,2008,1,9,20.666666666666668,9
South Africa,Capetown,2008-01-10,2008,1,10,22.27777777777777,10
